hiragana,country_id,hint1,hint2,hint3
せきどうぎにあ,GQ,実は赤道を通っていない,首都マラボはビオコ島にある,石油産出国である
あめりか,US,世界第3位の国土と人口を持つ,300種類以上の言語が使用されている,ロシア領との最短距離は4km
かなだ,CA,国土の40％が森林,国民1人 あたりのドーナツショップの数が世界一,世界で二番目に大きな国土を持つ国
めきしこ,MX,都市が標高2000ｍ級の大地に点在する,首都の土地がが少しずつ沈んでいる,世界最大のピラミッドが存在する
ぶらじる,BR,南米諸国で接していないのはチリとエクアドルだけ,世界最大のポルトガル語使用人口を擁する国,サッカーとカーニバルが有名
あるぜんちん,AR,首都は南アメリカのパリと呼ばれている,ラテンアメリカで2番目に領土が大きい,ガウチョの伝統やタンゴが有名
べねずえら,VE,国土の40%以上が自然保護区域,エンジェルフォールが観光地として人気,原油埋蔵量は世界最大
うるぐあい,UY,日本から一番遠い国,南米で唯一の福祉国家で南米のスイスと呼ばれる,第一回サッカーW杯の開催地かつ優勝国
ころんびあ,CO,エメラルドの産出量世界一,"首都は標高2,700mに位置する",世界最長のサイクリングロードがある
もろっこ,MA,青い街並み「シャウエン」が有名,アラブやヨーロッパなどの様々な文化が入り混じっている,「マグレブ三国」のひとつ
ちゅにじあ,TN,スターウォーズのロケ地になった,カルタゴ遺跡がある,ヨーロッパ人に人気のリゾート地がある
ちり,CL,"南北に4,300kmにも及ぶ国土を持つ",世界で最も大きな天文観測所がある,モアイ像が並ぶイースター島がある
ぺるー,PE,インカ帝国の中心地だった,ナスカの地上絵や、マチュピチュ遺跡が有名,チチカカ湖、レインボーマウンテンが有名
もーりたにあ,MR,タコが獲れる,国土の多くが砂漠,首都はアヌクショット
あるじぇりあ,DZ,国土面積はアフリカ1位,伝統料理は「クスクス」,アラビア語では「シャザイール」という国名
りびあ,LY,国名はギリシャ神話の登場人物リビュエーに由来,国旗が緑一色だった時期がある,公用語はアラビア語
えじぷと,EG,ピラミッド,スフィンクス,人が住んでいる地域は国土の6%のみ
